id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
16_palsa_ms2_spectra_MW_434.21546RT_19.473	C17H26N10O4	[M - H]-	C17H26N10O4	Alkaloids	0.5879617929458618	Pseudoalkaloids	0.27595487236976624	Tripeptides	0.18441978096961975	Amino acids and derivatives	0.5943205952644348	Amino acids and derivatives	0.5943205952644348	Amino acids, peptides, and analogues	0.6063708066940308	Carboxylic acids and derivatives	0.8268548846244812	Organic acids and derivatives	0.9951139688491821	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Benzenoids; Amines; Primary amines; Imidolactams; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_434.21546@RT_19.473
17_palsa_ms2_spectra_MW_462.11654RT_24.569	C12H18N10O10	[M - H]-	C12H18N10O10	Carbohydrates	0.8313215374946594	Nucleosides	0.8363233804702759	Purine nucleos(t)ides	0.8111401796340942	Purine nucleosides	0.9834544658660889					Purine nucleosides	0.9834544658660889	Nucleosides, nucleotides, and analogues	0.8928025960922241	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Azoles; Purine nucleosides; Purinones; Aminopyrimidines and derivatives; Diazines; Pentoses; 6-oxopurines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; Organic 1,3-dipolar compounds; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_462.11654@RT_24.569
18_palsa_ms2_spectra_MW_644.23308RT_23.513	C23H36N10O10S	[M - H]-	C23H36N10O10S	Amino acids and Peptides	0.861474335193634	Oligopeptides	0.5833569169044495	Cyclic peptides	0.6579140424728394	Oligopeptides	0.6047306060791016	Peptides	0.9928058981895447	Amino acids, peptides, and analogues	0.9986145496368408	Carboxylic acids and derivatives	0.9982341527938843	Organic acids and derivatives	0.9999022483825684	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Cyclic peptides; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Organic disulfides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	MW_644.23308@RT_23.513
19_palsa_ms2_spectra_MW_644.23289RT_18.452	C26H32N10O10	[M - H]-	C26H32N10O10	Alkaloids	0.5126511454582214	Nucleosides	0.5381750464439392	pteridine alkaloids	0.5915184617042542	Alpha amino acids and derivatives	0.640030562877655	Amino acids and derivatives	0.8304426670074463	Amino acids, peptides, and analogues	0.8309109210968018	Carboxylic acids and derivatives	0.9457005858421326	Organic acids and derivatives	0.9981101751327515	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrazines; Pyrimidines and pyrimidine derivatives; Pteridines and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; N-substituted imidazoles; Benzenoids; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Vinylogous amides; Dialkylarylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_644.23289@RT_18.452
20_palsa_ms2_spectra_MW_708.19138RT_15.917	C38H32N2O12	[M - H]-	C38H32N2O12	Alkaloids	0.5717335939407349	Tryptophan alkaloids	0.559040904045105	Carboline alkaloids	0.4328423738479614	Hexoses	0.5166969299316406	Monosaccharides	0.9539566040039062	Carbohydrates and carbohydrate conjugates	0.8733881115913391	Organooxygen compounds	0.999991774559021	Organic oxygen compounds	0.9999483823776245	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Vinylogous esters; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	MW_708.19138@RT_15.917
21_palsa_ms2_spectra_MW_468.25731RT_34.631	C22H36N4O7	[M - H]-	C22H36N4O7	Amino acids and Peptides	0.5949074625968933	Small peptides	0.5520790219306946	Tripeptides	0.510421872138977	Alpha amino acid amides	0.6777774095535278	Amino acids and derivatives	0.9328665137290955	Amino acids, peptides, and analogues	0.9446219801902771	Carboxylic acids and derivatives	0.9895560145378113	Organic acids and derivatives	0.9997840523719788	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_468.25731@RT_34.631
23_palsa_ms2_spectra_MW_328.22503RT_37.539	C18H32O5	[M - H]-	C18H32O5	Fatty acids	0.817608118057251	Octadecanoids	0.9452735781669617	Other Octadecanoids	0.9589433073997498	Long-chain fatty acids	0.9680227041244507	Long-chain fatty acids	0.9680227041244507	Fatty acids and conjugates	0.9967965483665466	Fatty Acyls	0.9938348531723022	Lipids and lipid-like molecules	0.9916554689407349	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Heterocyclic fatty acids; Polyols; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	MW_328.22503@RT_37.539
24_palsa_ms2_spectra_MW_328.22503RT_35.995	C14H28N6O3	[M - H]-	C14H28N6O3	Alkaloids	0.6105508208274841	Small peptides	0.279369592666626	Purine alkaloids	0.5980122685432434	Alpha amino acids and derivatives	0.5283344984054565	Amino acids and derivatives	0.4976760149002075	Amino acids, peptides, and analogues	0.5105987787246704	Carboxylic acids and derivatives	0.7043935060501099	Organic acids and derivatives	0.9970500469207764	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Imidazoles; Lactams; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Guanidines; Azoles; Ureas; Purinones; Carboxylic acid derivatives; Diazines; 6-oxopurines; Imidazopyrimidines; Carbonyl compounds; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_328.22503@RT_35.995
25_palsa_ms2_spectra_MW_580.14336RT_22.233	C20H24N10O9S	[M - H]-	C20H24N10O9S	Amino acids and Peptides	0.6186997294425964	��-lactams	0.2857496738433838	Tripeptides	0.36495959758758545	Oligopeptides	0.5020821690559387	Peptides	0.8423358798027039	Amino acids, peptides, and analogues	0.9148808121681213	Carboxylic acids and derivatives	0.8362849354743958	Organic acids and derivatives	0.9961845278739929	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	MW_580.14336@RT_22.233
26_palsa_ms2_spectra_MW_578.14281RT_15.511	C31H22N4O8	[M - H]-	C31H22N4O8	Polyketides	0.8609645962715149	Polycyclic aromatic polyketides	0.8706516027450562	Tetracyclines	0.8266631960868835	Tetracyclines	0.9239380359649658					Tetracyclines	0.9239380359649658	Phenylpropanoids and polyketides	0.5729110836982727	Organic compounds; Anthracenes; Naphthalenes; Ketones; Alcohols and polyols; Enols; Phenols; Tetracyclines; Phenylpropanoids and polyketides; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Naphthalenecarboxylic acids and derivatives; Trialkylamines; Benzene and substituted derivatives; Polyols; Naphthols and derivatives; Benzenoids; Amines; Tertiary amines; Cyclic ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	MW_578.14281@RT_15.511
27_palsa_ms2_spectra_MW_624.17009RT_27.610	C21H20N16O8	[M - H]-	C21H20N16O8	Carbohydrates	0.6362348198890686	Nucleosides	0.649216890335083	Purine nucleos(t)ides	0.7072592973709106	Purine nucleosides	0.7273948192596436					Purine nucleosides	0.7273948192596436	Nucleosides, nucleotides, and analogues	0.809736430644989	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Pteridines and derivatives; Alcohols and polyols; Benzoic acids and derivatives; Benzamides; Hippuric acids and derivatives; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Purine nucleosides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Vinylogous amides; Dialkylarylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_624.17009@RT_27.610
28_palsa_ms2_spectra_MW_594.15921RT_19.928	C27H30O15	[M - H]-	C27H30O15	Shikimates and Phenylpropanoids	0.8825502395629883	Flavonoids	0.7791783809661865	Flavones	0.7511216998100281	Flavonoid 8-C-glycosides	0.5688428282737732	Flavonoid C-glycosides	0.8372487425804138	Flavonoid glycosides	0.8330435156822205	Flavonoids	0.7672274112701416	Phenylpropanoids and polyketides	0.9873223900794983	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Dialkyl ethers; Monosaccharides; Flavones; Secondary alcohols; Flavonoid C-glycosides; Oxanes; Glycosyl compounds; C-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid 8-C-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	MW_594.15921@RT_19.928
